,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
55,楚门的世界 The Truman Show,剧情 / 科幻,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯,1293041,9.3,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
56,音乐之声 The Sound of Music,剧情 / 传记 / 爱情 / 歌舞,罗伯特·怀斯,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克,487704,9.1,美国,20世纪60年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
57,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,喜剧 / 爱情 / 奇幻 / 古装,刘镇伟,周星驰 / 吴孟达 / 朱茵,1259143,9.2,中国香港/中国大陆,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
58,活着,剧情 / 历史 / 家庭,张艺谋,葛优 / 巩俐 / 姜武,663437,9.3,中国大陆/中国香港,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg
59,钢琴家 The Pianist,剧情 / 传记 / 战争 / 音乐,罗曼·波兰斯基,艾德里安·布洛迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯,451603,9.2,英国/法国/波兰/德国/美国,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
60,被嫌弃的松子的一生 嫌われ松子の一生,剧情 / 歌舞,中岛哲也,中谷美纪 / 永山瑛太 / 香川照之,598106,8.9,日本,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
61,上帝之城 Cidade de Deus,犯罪 / 剧情,费尔南多·梅里尔斯 / 卡迪亚·兰德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,253682,9.0,巴西/法国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
62,一一,剧情 / 爱情 / 家庭,杨德昌,吴念真 / 李凯莉 / 金燕玲,290597,9.1,中国台湾/日本,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
63,雨中曲 Singin' in the Rain,喜剧 / 歌舞 / 爱情,斯坦利·多南 / 吉恩·凯利,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯,169372,9.0,美国,20世纪50年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
64,完美的世界 A Perfect World,剧情 / 犯罪,克林特·伊斯特伍德,凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德,229010,9.1,美国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
65,伴我同行 Stand by Me,剧情 / 儿童 / 冒险,罗伯·莱纳,瑞凡·菲尼克斯 / 威尔·惠顿 / 科里·费尔德曼,91661,8.9,美国,20世纪80年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1979379460.jpg
66,大独裁者 The Great Dictator,喜剧 / 剧情 / 战争,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 杰克·奥克,59871,9.1,美国,20世纪40年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1960167314.jpg
67,雾中风景 Τοπίο στην ομίχλη,剧情,西奥·安哲罗普洛斯,米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢,32306,8.9,希腊/法国/意大利,20世纪80年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1117765592.jpg
68,沉静如海 Le silence de la mer,剧情 / 爱情 / 战争,皮埃尔·布特龙,朱莉·德拉姆 / 米歇尔·加拉布吕 / 托马斯·儒阿特,59597,9.2,法国/比利时,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p541622159.jpg
69,听见天堂 Rosso come il cielo,剧情,克里斯蒂亚诺·博尔托内,Francesco Campobasso / 卢卡·卡普里奥蒂 / 马可·科奇,30038,8.9,意大利,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p501470993.jpg
70,大路 La strada,剧情,费德里科·费里尼,安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特,33073,9.0,意大利,20世纪50年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1137199702.jpg
71,爱情短片 Krótki film o miłości,剧情 / 爱情,克日什托夫·基耶斯洛夫斯基,格拉日娜·沙波沃夫斯卡 / 奥拉夫·卢巴申科 / 斯特凡尼亚·伊文斯卡,20895,8.8,波兰,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2189908788.jpg
72,回归 Возвращение,剧情 / 家庭,安德烈·萨金塞夫,弗拉迪米尔·加林 / 伊万·杜布朗拉沃夫 / 康斯坦丁·拉夫罗年科,22479,8.7,俄罗斯,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2493692221.jpg
73,淘金记 The Gold Rush,喜剧 / 爱情 / 西部 / 冒险,查理·卓别林,查理·卓别林 / 马克·斯旺 / 汤姆·默里,42753,9.2,美国,20世纪20年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.jpg
